Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
SANTA MARÍA DE SANDO,SALAMANCA,,SALAMANCA,236612.2,4541231.96,95,SALAMANCA,LINARES DE RIOFRÍO,47376.185264747866
SARDÓN DE LOS FRAILES,SALAMANCA,,SALAMANCA,225812.01,4567668.92,101,ZAMORA,FONFRÍA,48121.6557424834
SEQUEROS,SALAMANCA,,SALAMANCA,243736.78,4489021.11,207,SALAMANCA,LINARES DE RIOFRÍO,11850.235775628773
SOTOSERRANO,SALAMANCA,,SALAMANCA,242750.83,4480768.22,513,SALAMANCA,LINARES DE RIOFRÍO,18814.376535984462
TEJEDA Y SEGOYUELA,SALAMANCA,,SALAMANCA,244284.68,4502295.97,97,SALAMANCA,LINARES DE RIOFRÍO,10164.363706932143
TREMEDAL DE TORMES,SALAMANCA,,SALAMANCA,232760.13,4551854.96,35,SALAMANCA,LINARES DE RIOFRÍO,58676.03355586518
VALDELOSA,SALAMANCA,,SALAMANCA,266539.42,4561553.36,404,ZAMORA,FONFRÍA,59571.07250271344
VALDERRODRIGO,SALAMANCA,,SALAMANCA,205116.03,4551871.59,128,ZAMORA,FONFRÍA,70599.72256048737
VILLAGONZALO DE TORMES,SALAMANCA,,SALAMANCA,289676.45,4529729.26,216,SALAMANCA,LINARES DE RIOFRÍO,49533.74231943512
VILLAR DE GALLIMAZO,SALAMANCA,,SALAMANCA,307364.55,4536144.34,198,ÁVILA,MUÑANA,46462.890699250536
VILLAR DE SAMANIEGO,SALAMANCA,,SALAMANCA,210633.99,4558152.72,78,ZAMORA,FONFRÍA,62485.67560368139
VILLARMAYOR,SALAMANCA,,SALAMANCA,250058.26,4544668.16,154,SALAMANCA,LINARES DE RIOFRÍO,48049.502740737415
VILLASBUENAS,SALAMANCA,,SALAMANCA,197913.97,4551872.49,164,ZAMORA,FONFRÍA,74273.12202893414
VILLASDARDO,SALAMANCA,,SALAMANCA,234014.19,4544114.94,22,SALAMANCA,LINARES DE RIOFRÍO,50993.14756624714
